fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	scale_pos_weight	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 153306	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	94.2618667392267	0.071743759315343	0.744866547393919	1204	1481	11601	62087374.8125937	22
20240506 153551	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	80.6758639753029	0.0367205324678984	0.683098497982862	1650	1106	12117	62639044.9775112	23
20240506 153826	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	77.1394779862717	0.0615914811528872	0.707215842468932	1488	995	12104	60882782.6086956	24
20240506 154450	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2186	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	33.888548022073	0.010510063991949	0.769881248947111	1872	1448	11757	62254337.3313343	25
20240506 155421	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3652	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	96.0850062772971	0.0100765240179985	0.826079046403667	1741	1523	12212	61619352.3238381	26
20240506 160045	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2034	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	59.1747248489874	0.0100408885221142	0.719461352920577	1160	1255	11885	62458103.4482759	27
20240506 160717	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2009	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	27.8698132101296	0.0100871405184948	0.69028450557499	1662	1132	12424	62176875.5622189	28
20240506 161139	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1318	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.5690243979464	0.017764606274386	0.743810323807428	808	1255	12419	62541320.8395802	29
20240506 161527	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1165	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	71.4738209323132	0.0266072200295004	0.652488811846293	1946	1334	13521	61815530.7346327	30
20240506 161828	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	891	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	57.9319416748949	0.0294006189430115	0.793916357888187	875	1483	11846	61816002.9985007	31
