fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 170820	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	156	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.155184175897262	0.877503398481389	0.206488412340808	0.168480125027445	0.859193639889158	1805	571	11514	58214041.9790105	20
20240507 170941	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	182	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.323639302541729	0.261456825194386	0.223152322645092	0.100010967947841	0.633987409980225	1560	1666	11341	59547674.6626687	21
20240507 171226	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.868125309681734	0.160753275376105	0.791038787822388	0.0704049224113635	0.566109193164821	746	229	11564	59014986.5067466	22
20240507 171447	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.872273853721587	0.156020249079297	0.169452759966893	0.301082273324745	0.782411858805045	504	906	14185	55060412.2938531	23
20240507 171526	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.759883769687756	0.859057340464538	0.899990402228133	0.430465119721309	0.792838798522327	91	103	13526	53375223.3883059	24
20240507 171715	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	446	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.446285542067132	0.224545523914717	0.86671817040409	0.497180810013346	0.89659613655095	821	1460	14271	48421902.5487256	25
20240507 171940	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	281	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.752588837978608	0.783496027146141	0.464570226108331	0.26507122000675	0.523213016600952	1917	328	14715	56271011.994003	26
20240507 172055	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.214924524935033	0.642908297461673	0.557505689279585	0.324363850824344	0.555773458171042	246	1935	13406	56387517.2413793	27
20240507 172359	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.598996235754159	0.353638226788267	0.479075895959462	0.0270304248056673	0.881828683815716	2026	647	13456	60188281.8590705	28
20240507 172721	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1141	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.360058266737783	0.257750348866532	0.645285681725575	0.0281585249337887	0.8602005525817	128	1279	11400	59802038.9805097	29
20240507 173116	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1462	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.580060019108878	0.210252514922504	0.430851821875096	0.0404728416687421	0.889784441089437	1542	1985	12255	59829422.7886057	30
20240507 174510	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3089	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.529229286836299	0.703177197608036	0.532547227122635	0.0103373240628607	0.899750502419453	573	576	13490	58657316.3418291	31
20240507 174801	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	811	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.702645770797623	0.120104714539636	0.347189752248185	0.0459171983249996	0.773196496001975	522	1586	10482	59393340.3298351	32
20240507 175036	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.279113281745816	0.705566323847644	0.380165123964609	0.043923639019586	0.873557913060203	1969	1764	12483	59868421.2893553	33
20240507 175312	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	785	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.130872826413702	0.637431864250146	0.541231349887979	0.061487388711027	0.820367759593297	206	1783	11371	59296955.0224888	34
20240507 175621	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	940	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.767368800690796	0.22779229278459	0.631237245166225	0.0502284865330175	0.82594158618593	2047	1559	12864	58669709.1454273	35
20240507 175940	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	900	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.279423933557285	0.428674225757944	0.177668111822646	0.0300923975422149	0.871605060369709	1244	1411	11344	60995886.0569715	36
20240507 180434	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1104	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.355979223520401	0.555870748418373	0.103458004463854	0.0302462929862129	0.842590916543178	1240	1427	11506	59044458.7706147	37
20240507 180645	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	398	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.139262516229368	0.176409536156381	0.426593243434919	0.0405643127808428	0.899532348152101	1348	1245	11426	60522779.6101949	38
20240507 181008	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	897	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.240252439589614	0.246254158308839	0.419492881294158	0.0442486100761972	0.899162678765506	1145	1279	12672	59801871.0644678	39
20240507 181554	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1981	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.104740385102982	0.203420263933016	0.330260239209857	0.0192306225429364	0.862588194264286	1679	1482	12389	59572070.4647676	40
20240507 181737	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.190623670338486	0.120637035859317	0.235715447291514	0.158706294676056	0.899382849145357	1967	1997	11421	58236010.4947526	41
20240507 182210	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1390	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.381813794994491	0.426769444363666	0.481243802743246	0.0380965578474221	0.872577009819707	1286	1317	12353	58260880.05997	42
20240507 182528	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	660	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.112979837493233	0.149070923440844	0.15231940425508	0.0378676549700427	0.886753671842918	283	821	12860	58555712.143928	43
20240507 182824	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	934	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.245218820486149	0.718950296117908	0.353823020219148	0.0212351229938027	0.72554254040024	822	1998	10074	61412602.6986507	44
20240507 183455	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2176	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.245796440966244	0.725731339392964	0.363827841587236	0.0108424128769843	0.678939814743882	799	1971	11361	61461767.6161919	45
