fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 100055	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.487930519275037	43	4854	14075	54124745.1274363	120
20240512 100249	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.485548044475734	43	4855	14075	54124745.1274363	121
20240512 100435	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.419037071950226	46	4871	13018	55054605.6971514	122
20240512 100628	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.485681120727737	44	4857	11152	53947898.0509745	123
20240512 100822	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.479628942204636	43	4806	12662	55670851.5742129	124
20240512 101015	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.47949967336058	43	4812	11641	55657509.7451274	125
20240512 101210	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.486227625134784	46	5039	12647	57695281.8590705	126
20240512 101401	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.486273784242007	46	5085	11321	50369893.5532234	127
20240512 101553	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.483257110748204	44	4857	12393	55033833.5832084	128
20240512 101744	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.482824885143359	44	4857	12393	55033833.5832084	129
