fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 182703	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3269	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100432028256536	0.570877006165044	1351	1596	11478	60594365.8170915	23
20240509 184439	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2259	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0181234205886589	0.713718749590614	1063	1555	13390	59758395.802099	24
20240509 185632	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1691	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100417309675491	0.642969393114783	109	1124	10683	62151659.6701649	25
20240509 191003	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1121	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.010055362860217	0.658027766129925	234	1079	11472	61641511.2443778	26
20240509 192322	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6918	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0102088848915069	0.779356306111629	9	1066	12876	58527382.3088456	27
20240509 194313	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2227	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.010010256680522	0.658665826882112	419	1275	11822	60874329.8350825	28
20240509 201415	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3864	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100479724887138	0.673824135022398	400	1224	12178	59668938.5307346	29
20240509 204327	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3651	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100265943309405	0.653420756992969	385	1246	12946	60010695.6521739	30
20240509 205449	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	863	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100003174943775	0.698906578494502	535	1118	11744	61737295.3523238	31
20240509 210738	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100203817240333	0.701776986439704	527	1102	11512	61179142.4287856	32
