fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 014725	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.290796986967339	0.294262258304211	0.395404552013381	0.231296681989266	0.722205879247606	1660	1395	10537	58938085.4572714	1
20240507 014859	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.164178148651874	0.327135868294358	0.61411134911788	0.214779450095171	0.736080672692822	643	1078	11807	59198610.1949025	2
20240507 015032	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.35211352199307	0.591624249464862	0.669326071878189	0.395893280724017	0.699716627673892	365	915	10226	55573454.2728636	3
20240507 015153	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.561518382353268	0.747236653276871	0.243435796517963	0.147942893450293	0.573731946155353	176	1213	11618	61103721.1394303	4
20240507 015305	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.52710124400775	0.626803288962213	0.523011715440913	0.358001678380964	0.82176011254887	725	1580	10334	54505706.1469265	5
20240507 015442	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.675640112498642	0.374351272667341	0.542795026139674	0.325435317783394	0.541223948855421	1183	715	12754	54454401.7991005	6
20240507 015618	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.428715320849841	0.713238697721076	0.714116128991527	0.128527070103709	0.587260012010996	1510	1260	13473	59667656.6716642	7
20240507 015718	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.620989188876544	0.102111684047837	0.639898002809296	0.244567701849174	0.68150668172411	1385	1868	10580	57421199.4002998	8
20240507 015959	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	676	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.647679905747128	0.698213463183453	0.369641886258983	0.0308429481671968	0.810024109532495	533	1343	11053	62623848.5757121	9
20240507 020147	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.791333176787048	0.450276884756023	0.119487595231337	0.425534913306768	0.642993114053736	1115	1772	11697	49601413.7931034	10
20240507 020355	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.406677701893753	0.42859926929034	0.295691067643137	0.0887830562824094	0.512847846041515	1690	436	12149	61388442.2788606	11
20240507 020529	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.70394542326168	0.533030293292902	0.151879220473718	0.38285253054598	0.853744970746095	1433	262	11234	53024776.6116941	12
20240507 020633	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.196066248891624	0.198160026978202	0.781539628465849	0.362412256369542	0.621874427517649	1082	1604	11842	55777148.4257871	13
20240507 020719	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	33	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.494717413915739	0.50981777090495	0.814486245441516	0.461358365158676	0.707324914949051	972	630	13737	40321353.8230885	14
20240507 020923	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	189	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.360131298981846	0.790251720696904	0.331043744359953	0.0569889279609073	0.662296786861232	402	458	13237	60158565.2173913	15
20240507 021017	1067	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	439	TRUE	1	0.1	50	0.5	FALSE	20	101197	0.120086592883074	0.388977060671583	0.698302117153998	0.186942426027736	0.830562784106983	33	988	12165	57458223.3883059	16
